Be yourself; everyone else is already taken.|Oscar Wilde
So many books, so little time.|Frank Zappa
A room without books is like a body without a soul.|Marcus Tullius Cicero
You only live once, but if you do it right, once is enough.|Mae West
Be the change that you wish to see in the world.|Mahatma Gandhi
In three words I can sum up everything I've learned about life: it goes on.|Robert Frost
If you tell the truth, you don't have to remember anything.|Mark Twain
A friend is someone who knows all about you and still loves you.|Elbert Hubbard
Always forgive your enemies; nothing annoys them so much.|Oscar Wilde
To live is the rarest thing in the world. Most people exist, that is all.|Oscar Wilde
Live as if you were to die tomorrow. Learn as if you were to live forever.|Mahatma Gandhi
Without music, life would be a mistake.|Friedrich Nietzsche
We accept the love we think we deserve.|Stephen Chbosky
I am so clever that sometimes I don't understand a single word of what I am saying.|Oscar Wilde
It is better to be hated for what you are than to be loved for what you are not.|Andre Gide
It is our choices, Harry, that show what we truly are, far more than our abilities.|J.K. Rowling
It does not do to dwell on dreams and forget to live.|J.K. Rowling
Good friends, good books, and a sleepy conscience: this is the ideal life.|Mark Twain
As he read, I fell in love the way you fall asleep: slowly, and then all at once.|John Green
We are all in the gutter, but some of us are looking at the stars.|Oscar Wilde
The fool doth think he is wise, but the wise man knows himself to be a fool.|William Shakespeare
Life is what happens to us while we are making other plans.|Allen Saunders
I have not failed. I've just found 10,000 ways that won't work.|Thomas A. Edison
It is not a lack of love, but a lack of friendship that makes unhappy marriages.|Friedrich Nietzsche
The man who does not read has no advantage over the man who cannot read.|Mark Twain
If you don't stand for something you will fall for anything.|Gordon A. Eadie
I solemnly swear that I am up to no good.|J.K. Rowling
Outside of a dog, a book is man's best friend. Inside of a dog it's too dark to read.|Groucho Marx
Love all, trust a few, do wrong to none.|William Shakespeare
I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.|Dr. Seuss
A day without sunshine is like, you know, night.|Steve Martin
Never put off till tomorrow what may be done day after tomorrow just as well.|Mark Twain
,Kent M. Keith
That which does not kill us makes us stronger.|Friedrich Nietzsche
It is never too late to be what you might have been.|George Eliot
For every minute you are angry you lose sixty seconds of happiness.|Ralph Waldo Emerson
I love deadlines. I love the whooshing noise they make as they go by.|Douglas Adams
If you judge people, you have no time to love them.|Mother Teresa
If you can't explain it to a six year old, you don't understand it yourself.|Albert Einstein
There is no greater agony than bearing an untold story inside you.|Maya Angelou
I have always imagined that Paradise will be a kind of library.|Jorge Luis Borges
Everything you can imagine is real.|Pablo Picasso
Sometimes the questions are complicated and the answers are simple.|Dr. Seuss
Never trust anyone who has not brought a book with them.|Lemony Snicket
You love me. Real or not real?I tell him, Real.|Suzanne Collins
You can never get a cup of tea large enough or a book long enough to suit me.|C.S. Lewis
We read to know we're not alone.|William Nicholson
All you need is love. But a little chocolate now and then doesn't hurt.|Charles M. Schulz
Life isn't about finding yourself. Life is about creating yourself.|George Bernard Shaw
Today you are You, that is truer than true. There is no one alive who is Youer than You.|Dr. Seuss
To the well-organized mind, death is but the next great adventure.|J.K. Rowling
I'm not afraid of death; I just don't want to be there when it happens.|Woody Allen
Logic will get you from A to Z; imagination will get you everywhere.|Albert Einstein
Whenever I feel the need to exercise, I lie down until it goes away.|Paul   Terry
Sometimes people are beautiful.Not in looks.Not in what they say.Just in what they are.|Markus Zusak
Folks are usually about as happy as they make their minds up to be.|Abraham Lincoln
Do what you can, with what you have, where you are.|Theodore Roosevelt
There is no friend as loyal as a book.|Ernest Hemingway
One good thing about music, when it hits you, you feel no pain.|Bob Marley
Not all of us can do great things. But we can do small things with great love.|Mother Teresa
Love is like the wind, you can't see it but you can feel it.|Nicholas Sparks
It matters not what someone is born, but what they grow to be.|J.K. Rowling
Life is like riding a bicycle. To keep your balance, you must keep moving.|Albert Einstein
Some people never go crazy. What truly horrible lives they must lead.|Charles Bukowski
The difference between genius and stupidity is: genius has its limits.|Alexandre Dumas-fils
If you can make a woman laugh, you can make her do anything.|Marilyn Monroe
Some infinities are bigger than other infinities.|John Green
Do one thing every day that scares you.|Eleanor Roosevelt
Not all those who wander are lost.|J.R.R. Tolkien
Time you enjoy wasting is not wasted time.|Marthe Troly-Curtin
Reality continues to ruin my life.|Bill Watterson
Things change. And friends leave. Life doesn't stop for anybody.|Stephen Chbosky
The only way out of the labyrinth of suffering is to forgive.|John Green
He's like a drug for you, Bella.|Stephenie Meyer
The reason I talk to myself is because Iâ€™m the only one whose answers I accept.|George Carlin
Go to heaven for the climate and hell for the company.|Benjamin Franklin Wade
There is nothing to writing. All you do is sit down at a typewriter and bleed.|Ernest Hemingway
And, when you want something, all the universe conspires in helping you to achieve it.|Paulo Coelho
â€²Classicâ€² - a book which people praise and don't read.|Mark Twain
I love mankind ... it's people I can't stand!!|Charles M. Schulz
You donâ€™t forget the face of the person who was your last hope.|Suzanne Collins
I am free of all prejudice. I hate everyone equally. |W.C. Fields
I have never let my schooling interfere with my education.|Mark Twain
The books that the world calls immoral are books that show the world its own shame.|Oscar Wilde
The marks humans leave are too often scars.|John Green
To die will be an awfully big adventure.|J.M. Barrie
Anyone who has never made a mistake has never tried anything new.|Albert Einstein
Some day you will be old enough to start reading fairy tales again.|C.S. Lewis
We are what we pretend to be, so we must be careful about what we pretend to be.|Kurt Vonnegut
It takes courage to grow up and become who you really are.|E.E. Cummings
Itâ€™s no use going back to yesterday, because I was a different person then.|Lewis Carroll
And in that moment, I swear we were infinite.|Stephen Chbosky
Books are a uniquely portable magic.|Stephen King
But better to get hurt by the truth than comforted with a lie.|Khaled Hosseini
There is nothing better than a friend, unless it is a friend with chocolate.|Linda Grayson
The truth is rarely pure and never simple.|Oscar Wilde
... a mind needs books as a sword needs a whetstone, if it is to keep its edge.|George R.R. Martin
Memories warm you up from the inside. But they also tear you apart.|Haruki Murakami
A lie can travel half way around the world while the truth is putting on its shoes.|Mark Twain
Never tell the truth to people who are not worthy of it.|Mark Twain
Be nice to nerds. You may end up working for them. We all could.|Charles J. Sykes
Tis better to have loved and lostThan never to have loved at all.|Alfred Lord Tennyson
Knowing yourself is the beginning of all wisdom.|Aristotle
Only the very weak-minded refuse to be influenced by literature and poetry.|Cassandra Clare
It's the possibility of having a dream come true that makes life interesting.|Paulo Coelho
Happiness in intelligent people is the rarest thing I know.|Ernest Hemingway
A day without laughter is a day wasted.|Nicolas Chamfort
A person's a person, no matter how small.|Dr. Seuss
The only true wisdom is in knowing you know nothing.|Socrates
Perhaps one did not want to be loved so much as to be understood.|George Orwell
I became insane, with long intervals of horrible sanity.|Edgar Allan Poe
Oh, I wouldn't mind, Hazel Grace. It would be a privilege to have my heart broken by you.|John Green
Numbing the pain for a while will make it worse when you finally feel it.|J.K. Rowling
You can never be overdressed or overeducated.|Oscar Wilde
Just because you have the emotional range of a teaspoon doesn't mean we all have.|J.K. Rowling
The one you love and the one who loves you are never, ever the same person.|Chuck Palahniuk
Be careful about reading health books. Some fine day you'll die of a misprint.|Markus Herz
An eye for an eye will only make the whole world blind.|Mahatma Gandhi
If you're gonna be two-faced at least make one of them pretty.|Marilyn Monroe
Until I feared I would lose it, I never loved to read. One does not love breathing.|Harper Lee
I would rather walk with a friend in the dark, than alone in the light.|Helen Keller
Music expresses that which cannot be put into words and that which cannot remain silent|Victor hugo
The truth will set you free, but first it will piss you off.|Joe Klaas
Creativity is knowing how to hide your sources|C.E.M. Joad
I wish I could freeze this moment, right here, right now and live in it forever.|Suzanne Collins
Life is an awful, ugly place to not have a best friend.|Sarah Dessen
Happiness is when what you think, what you say, and what you do are in harmony.|Mahatma Gandhi
Well-behaved women seldom make history.|Laurel Thatcher Ulrich
We're all human, aren't we? Every human life is worth the same, and worth saving.|J.K. Rowling
With great power... comes great need to take a nap. Wake me up later.|Rick Riordan
One is loved because one is loved. No reason is needed for loving.|Paulo Coelho
Everyone thinks of changing the world, but no one thinks of changing himself.|Leo Tolstoy
It's the friends you can call up at 4 a.m. that matter.|Marlene Dietrich
So we beat on, boats against the current, borne back ceaselessly into the past.|F. Scott Fitzgerald
It's far better to be unhappy alone than unhappy with someone â€” so far.|Marilyn Monroe
I am not pretty. I am not beautiful. I am as radiant as the sun.|Suzanne Collins
If you don't know where you're going, any road'll take you there|George Harrison
Nothing is impossible, the word itself says 'I'm possible'!|Audrey Hepburn
There is only one thing that makes a dream impossible to achieve: the fear of failure.|Paulo Coelho
We love the things we love for what they are.|Robert Frost
It takes ten times as long to put yourself back together as it does to fall apart.|Suzanne Collins
I would die for you. But I won't live for you.|Stephen Chbosky
This lifeâ€™s hard, but itâ€™s harder if youâ€™re stupid.|George V. Higgins
I refuse to answer that question on the grounds that I don't know the answer|Douglas Adams
What a treacherous thing to believe that a person is more than a person.|John Green
Never love anyone who treats you like you're ordinary.|Oscar Wilde
So, I love you because the entire universe conspired to help me find you.|Paulo Coelho
Wit beyond measure is manâ€™s greatest treasure.|J.K. Rowling
Death ends a life, not a relationship.|Mitch Albom
Happiness is not something ready made. It comes from your own actions.|Dalai Lama XIV
Count your age by friends, not years. Count your life by smiles, not tears.|John Lennon
We are only as strong as we are united, as weak as we are divided.|J.K. Rowling
Hold fast to dreams,For if dreams dieLife is a broken-winged bird,That cannot fly.|Langston Hughes
Never memorize something that you can look up.|Albert Einstein
Indifference and neglect often do much more damage than outright dislike.|J.K. Rowling
The weak can never forgive. Forgiveness is the attribute of the strong.|Mahatma Gandhi
All that we see or seem is but a dream within a dream.|Edgar Allan Poe
Peace begins with a smile..|Mother Teresa
All we have to decide is what to do with the time that is given us.|J.R.R. Tolkien
I like the night. Without the dark, we'd never see the stars.|Stephenie Meyer
The only thing worse than a boy who hates you: a boy that loves you.|Markus Zusak
You talk when you cease to be at peace with your thoughts.|Kahlil Gibran
You are, and always have been, my dream.|Nicholas Sparks
He can run faster than Severus Snape confronted with shampoo.|J.K. Rowling
Don't think or judge, just listen.|Sarah Dessen
You cannot find peace by avoiding life.|Michael Cunningham
I would always rather be happy than dignified.|Charlotte BrontÃ«
Grief does not change you, Hazel. It reveals you.|John Green
Facts do not cease to exist because they are ignored.|Aldous Huxley
Happy Hunger Games! And may the odds be ever in your favor.|Suzanne Collins
Those who believe in telekinetics, raise my hand.|Kurt Vonnegut
Whatever you are, be a good one.|Abraham Lincoln
A good friend will always stab you in the front.|Oscar Wilde
There's a fine line between genius and insanity. I have erased this line.|Oscar Levant
